"message.code","id","sortorder","abbr_de","abbr_en","abbr_fr","abbr_it","abbr_ro","legend_de","legend_en","legend_fr","legend_it","legend_ro","name_de","name_en","name_fr","name_it","name_ro"
"party.name.cvp",2,1,"CVP","CVP","PDC","PPD","PCD","CVP","CVP","PDC","PPD","PCD","Christlichdemokratische Volkspartei der Schweiz","Christian Democratic People's Party of Switzerland","Parti démocrate-chrétien suisse","Partito popolare democratico svizerro","Partida cristiandemocratica svizra"
"party.name.fdp",1,2,"FDP","FDP","PLR","PLR","PLD","FDP (+ LPS)","FDP (+ LPS)","PLR (+ PLS)","PLR (+ PLS)","PLD (+ PLS)","Freisinnig-Demokratische Partei der Schweiz (inklusive LPS)","Free Democratic Party of Switzerland (including LPS)","Parti libéral-radical suisse (avec PLS)","Partito liberale radicale svizzero (compreso PLS)","Partida liberaldemocratica svizra (cumprais PLS)"
"party.name.svp",4,3,"SVP","SVP","UDC","UDC","PPS","SVP","SVP","UDC","UDC","PPS","Schweizerische Volkspartei","Swiss People's Party","Union démocratique du centre","Unione democratica di centro","Partida populara svizra"
"party.name.sp",3,4,"SP","SP","PS","PS","PS","SP","SP","PS","PS","PS","Sozialdemokratische Partei der Schweiz","Social Democratic Party of Switzerland","Parti socialiste suisse","Partito socialista svizzero","Partida socialdemocratica"
"party.name.gps",13,5,"GPS","GPS","Les Verts","Verdi","PES","GPS","GPS","PES","PES","PES","Grüne Partei der Schweiz","Green Party of Switzerland","Les verts – Parti écologiste suisse","I Verdi – Partito ecologista svizzero","Partida ecologica svizra"
"party.name.glp",31,6,"GLP","GLP","PVL","PVL","PVL","GLP","GLP","PVL","PVL","PVL","Grünliberale Partei Schweiz","Green Liberal Party of Switzerland","Parti vert'libéral suisse","Partito verde liberale svizzero","Partida verd-liberala svizra"
"party.name.bdp",32,7,"BDP","BDP","PBD","PBD","PBD","BDP","BDP","PBD","PBD","PBD","Bürgerlich-Demokratische Partei Schweiz","Conservative Democratic Party of Switzerland","Parti bourgeois démocratique suisse","Partito borghese-democratico svizerro","Partida burgais-democratica svizra"
"party.name.evp",7,8,"EVP","EVP","PEV","PEV","PEV","EVP","EVP","PEV","PEV","PEV","Evangelische Volkspartei der Schweiz","Evangelical People's Party of Switzerland","Parti évangélique suisse","Partito evangelico svizzero","Partida evangelica svizra"
"party.name.lega",18,9,"Lega","Lega","Lega","Lega","Lega","Lega","Lega","Lega","Lega","Lega","Lega dei ticinesi","Lega dei ticinesi","Lega dei ticinesi","Lega dei ticinesi","Lega dei Ticinesi"
"party.name.small-right",16,10,"Kleine Rechtsparteien","Small right-wing parties","Divers droite","Partiti minori di destra","Partidas pitschnas da la dretga","Kleine Rechtsparteien (EDU, SD, Rep., FPS)","Small right-wing parties (EDU, SD, Rep., FPS)","Divers droite (UDF, DS, Rep., PA)","Piccoli partiti di destra (UDF, PSL, Rep., DS)","Pitschnas partidas da la dretga (UDF, DS, Rep., PSL)","Kleine Rechtsparteien (EDU, SD, Rep., FPS)","Small right-wing parties (EDU, SD, Rep., FPS)","Divers droite (UDF, Démocrates suisses…)","Partiti minori di destra (UDF, PSL, Rep., DS)","Partidas pitschnas da la dretga (UDF, DS, Rep., PSL)"
"party.name.small-left",9,11,"Kleine Linksparteien","Small left-wing parties","Divers gauche","Partiti minori di sinistra","Partidas pitschnas da la sanestra","Kleine Linksparteien (PdA, Sol., PSA, POCH, FGA)","Small left-wing parties (PdA, Sol., PSA, POCH, FGA)","Divers gauche (POP, Sol., AdG, POCH, FGA)","Piccoli partiti di sinistra (PdL, Sol, AL, POCH, LS)","Pitschnas partidas da la sanestra (PdL, Sol., PSA, POCH, AVF)","Kleine Linksparteien (PdA, Sol., PSA, POCH, FGA)","Small left-wing parties (PdA, Sol., PSA, POCH, FGA)","Divers gauche (POP, Solidarité, AdG...)","Partiti minori di sinistra (PdL, Sol, AL, POCH, LS)","Partidas pitschnas da la sanestra (PdL, Sol., PSA, POCH, AVF)"
"party.name.others",8,12,"Andere","Others","Autres","Altri","Autras","Andere (CSP, Sep., LdU, MCR, Übrige)","Others (CSP, Sep., LdU, MCR, etc.)","Autres (PCS, Sep., Adl, MCR, divers)","Altri (PCS, Sep., AdI, MCG, ecc.)","Autras (PCS, Sep., AdI, MCR, ulteriuras)","Andere (CSP, Sep., LdU, MCR, Übrige)","Others","Autres","Altri (MCS, AdI, ecc.)","Autras (PCS, Sep., AdI, MCR, ulteriuras)"
